plr_id,plr_name,bezirk,flaeche_km2,centroid_lat,centroid_lng,einwohner_gesamt,einwohner_18_35,einwohner_dichte,medianeinkommen_eur,mss_status_index,mss_dynamik_label,doener_count,doener_avg_rating,doener_total_reviews,doener_best_rating,doener_pct_delivery,doener_avg_hours_per_week,doener_pct_late_night,doener_pct_open_sunday,doener_avg_price_level,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count,gastro_gesamt,gastro_neu,einwohner_pro_doener,wettbewerb_index,gastro_fluktuation,gentrification_flag
04501040,Hindemithplatz,Charlottenburg-Wilmersdorf,0.3032,52.502517,13.310375,5895.0,1321.0,19442.6,5201.0,2.0,stabil,1,4.7,260,4.7,100.0,119.0,100.0,100.0,1.0,7,1,8,13,9,0,68,29,5895.0,0.17,0.426,0.0
09502042,Mittelheide,Treptow-Koepenick,3.1962,52.46516,13.600805,4315.0,812.0,1350.0,4404.0,2.0,stabil,0,,0,,,,,,,5,0,8,1,1,0,3,3,,0.0,1.0,0.0
11100204,Falkenberg West,Lichtenberg,0.776,52.562291,13.521299,7463.0,1559.0,9617.3,3102.0,2.0,stabil,2,3.95,206,4.1,0.0,70.0,50.0,100.0,1.0,17,0,2,2,5,0,6,1,3731.5,0.268,0.167,0.0
03400827,Trelleborger Viertel,Pankow,0.4133,52.557351,13.418648,9703.0,2256.0,23476.9,4420.0,2.0,stabil,1,3.4,177,3.4,0.0,112.0,100.0,100.0,1.0,3,0,9,4,7,0,18,5,9703.0,0.103,0.278,0.0
02100102,Mehringplatz,Friedrichshain-Kreuzberg,0.6245,52.5019,13.393298,8660.0,2542.0,13867.1,3940.0,4.0,stabil,7,4.71,4330,4.9,42.9,79.3,71.4,100.0,3.71,17,2,15,4,55,6,97,37,1237.1,1.501,0.381,0.0
08100105,Silbersteinstraße,Neukoelln,0.4639,52.464572,13.42895,6338.0,2089.0,13662.4,4247.0,3.0,positiv,6,4.18,2934,4.8,50.0,115.8,100.0,100.0,2.5,14,0,3,2,2,1,38,14,1056.3,1.104,0.368,0.0
07601341,Diedersdorfer Weg,Tempelhof-Schoeneberg,3.9134,52.403792,13.368498,2225.0,339.0,568.6,,2.0,stabil,1,,0,,100.0,41.0,0.0,0.0,,25,0,4,2,17,2,15,4,2225.0,1.348,0.267,0.0
08200623,Park am Buschkrug,Neukoelln,1.1793,52.456309,13.449519,6692.0,1582.0,5674.6,3466.0,2.0,stabil,1,3.5,79,3.5,0.0,68.5,0.0,100.0,1.0,19,1,7,4,15,2,23,9,6692.0,0.448,0.391,0.0
06200422,Oberhofer Platz,Steglitz-Zehlendorf,1.3675,52.422762,13.327744,7009.0,1270.0,5125.4,4237.0,1.0,stabil,2,4.0,860,4.1,50.0,94.5,100.0,100.0,1.0,30,0,5,6,6,2,26,8,3504.5,0.571,0.308,0.0
11400927,Victoriastadt,Lichtenberg,0.3741,52.503993,13.477319,4173.0,915.0,11154.8,4710.0,2.0,stabil,1,4.4,157,4.4,0.0,110.2,100.0,100.0,1.0,5,2,8,4,7,3,27,5,4173.0,0.959,0.185,0.0
02500729,Pettenkofer Straße,Friedrichshain-Kreuzberg,0.3225,52.516795,13.472481,5407.0,1489.0,16765.9,4935.0,2.0,stabil,3,4.17,825,4.3,33.3,65.3,66.7,100.0,1.0,1,7,8,3,7,4,54,31,1802.3,1.295,0.574,0.0
01200625,Lübecker Straße,Mitte,0.3251,52.528727,13.347955,6905.0,2050.0,21239.6,3724.0,3.0,positiv,4,4.33,627,4.5,25.0,65.1,75.0,100.0,3.25,13,0,8,6,19,2,48,19,1726.2,0.869,0.396,0.0
09200511,Griechischer Park,Treptow-Koepenick,1.3586,52.460225,13.521474,13207.0,3884.0,9721.0,3611.0,2.0,stabil,5,4.08,1062,4.7,60.0,109.9,100.0,100.0,1.0,7,9,13,6,10,2,57,22,2641.4,0.53,0.386,0.0
10400940,Elsensee,Marzahn-Hellersdorf,3.1639,52.49204,13.599273,5847.0,525.0,1848.0,4394.0,1.0,stabil,0,,0,,,,,,,45,0,5,0,4,0,6,2,,0.0,0.333,0.0
12500824,Ziekowstraße/Freie Scholle,Reinickendorf,2.228,52.599324,13.29498,9681.0,1739.0,4345.2,3804.0,2.0,stabil,2,4.5,1443,4.6,50.0,78.0,50.0,100.0,1.0,17,1,11,2,5,2,13,4,4840.5,0.413,0.308,0.0
06400737,Nikolassee,Steglitz-Zehlendorf,16.4902,52.439391,13.201335,11337.0,2647.0,687.5,4958.0,1.0,negativ,1,4.8,353,4.8,100.0,77.0,0.0,100.0,1.0,46,0,14,6,16,2,40,14,11337.0,0.265,0.35,0.0
09200715,Wista,Treptow-Koepenick,2.6712,52.42955,13.535433,4259.0,1708.0,1594.4,4194.0,2.0,negativ,4,3.78,508,4.4,0.0,47.3,0.0,33.3,1.0,38,24,5,3,66,2,45,22,1064.8,1.409,0.489,0.0
08200728,Ortolanweg,Neukoelln,1.1864,52.444458,13.466117,1206.0,211.0,1016.5,,2.0,positiv,1,4.8,119,4.8,0.0,72.0,100.0,100.0,1.0,0,0,4,1,1,1,9,6,1206.0,1.658,0.667,1.0
08401243,Alt-Rudow,Neukoelln,2.5081,52.423075,13.501761,10078.0,1880.0,4018.2,3634.0,2.0,stabil,5,4.5,1328,4.9,80.0,74.4,60.0,80.0,4.6,31,0,10,2,12,2,62,26,2015.6,0.695,0.419,0.0
02200208,Rathaus Yorckstraße,Friedrichshain-Kreuzberg,0.4289,52.49582,13.384182,5745.0,1549.0,13394.7,4549.0,2.0,stabil,2,4.15,129,4.3,0.0,85.5,50.0,100.0,1.0,9,3,9,18,19,3,45,15,2872.5,0.87,0.333,0.0
08300935,Gropiusstadt Süd-West,Neukoelln,0.6773,52.427759,13.454591,7611.0,1537.0,11237.3,3310.0,2.0,stabil,4,4.17,1037,4.7,0.0,92.1,100.0,75.0,1.0,8,0,8,2,1,1,9,2,1902.8,0.657,0.222,0.0
08200727,Parchimer Allee Süd,Neukoelln,1.1568,52.441088,13.44579,8115.0,1846.0,7015.0,3426.0,2.0,stabil,1,4.6,199,4.6,100.0,76.0,100.0,100.0,1.0,15,0,11,1,2,5,21,8,8115.0,0.739,0.381,0.0
01401043,Antonstraße,Mitte,0.2989,52.547676,13.365874,7627.0,2341.0,25516.9,3492.0,4.0,positiv,4,4.33,1926,4.7,75.0,100.1,75.0,100.0,5.5,7,1,8,14,2,0,51,17,1906.8,0.524,0.333,0.0
12100206,Humboldtstraße,Reinickendorf,0.7593,52.57453,13.337562,4780.0,1120.0,6295.3,3537.0,2.0,stabil,0,,0,,,,,,,12,0,3,1,4,0,6,1,,0.0,0.167,0.0
11300620,Fennpfuhl Ost,Lichtenberg,0.5568,52.527238,13.480556,11346.0,2654.0,20377.2,3251.0,2.0,stabil,2,4.15,747,4.3,0.0,105.0,100.0,100.0,1.0,17,0,12,1,14,0,12,7,5673.0,0.176,0.583,0.0
01100311,Karl-Marx-Allee,Mitte,0.808,52.518372,13.421063,9787.0,2716.0,12112.6,4062.0,2.0,stabil,3,4.37,4060,4.9,33.3,105.3,66.7,66.7,1.0,17,0,7,5,28,3,70,16,3262.3,0.613,0.229,0.0
12100101,Letteplatz,Reinickendorf,0.7806,52.563303,13.370792,11188.0,3155.0,14332.6,3389.0,3.0,stabil,5,4.54,643,5.0,60.0,89.8,75.0,100.0,1.0,20,1,7,15,6,3,57,32,2237.6,0.715,0.561,0.0
04501042,Breitscheidplatz,Charlottenburg-Wilmersdorf,0.6037,52.503747,13.333092,3664.0,923.0,6069.2,5010.0,2.0,negativ,9,4.49,6388,4.9,22.2,84.8,75.0,75.0,2.0,33,5,3,44,79,13,227,69,407.1,6.004,0.304,0.0
01100101,Stülerstraße,Mitte,0.3669,52.507511,13.346954,3580.0,1115.0,9757.4,4721.0,2.0,stabil,1,4.3,304,4.3,100.0,93.0,100.0,100.0,1.0,10,2,3,4,40,0,20,5,3580.0,0.279,0.25,0.0
03300413,Karow Ost,Pankow,1.8643,52.607372,13.483004,3195.0,383.0,1713.8,4274.0,1.0,stabil,0,,0,,,,,,,10,0,4,0,5,0,4,1,,0.0,0.25,0.0
09200716,Dörpfeldstraße West,Treptow-Koepenick,0.9478,52.438337,13.542507,8373.0,2456.0,8834.1,3825.0,2.0,stabil,7,3.85,1002,4.3,42.9,92.6,80.0,100.0,1.0,12,0,11,4,9,4,23,10,1196.1,1.314,0.435,0.0
08200730,Handwerker-Siedlung,Neukoelln,1.3764,52.432917,13.441662,3373.0,658.0,2450.6,3428.0,2.0,stabil,0,,0,,,,,,,17,0,4,2,9,2,12,3,,0.593,0.25,0.0
01401048,Leopoldplatz,Mitte,0.4083,52.550512,13.358503,9520.0,3486.0,23316.2,3824.0,3.0,positiv,7,4.24,2496,4.8,28.6,93.0,85.7,100.0,2.29,6,3,9,17,11,3,71,30,1360.0,1.05,0.423,0.0
03400619,Wilhelmsruh,Pankow,2.1696,52.586575,13.372388,10596.0,1869.0,4883.8,4320.0,2.0,stabil,4,4.53,547,5.0,25.0,86.0,75.0,75.0,1.0,24,0,16,2,12,1,18,7,2649.0,0.472,0.389,0.0
12500927,Wittenau Nord,Reinickendorf,2.4947,52.596095,13.318507,6874.0,1244.0,2755.4,4226.0,2.0,stabil,5,4.28,847,5.0,60.0,96.2,75.0,100.0,4.0,25,1,9,4,11,2,32,9,1374.8,1.018,0.281,0.0
03200204,Blankenfelde,Pankow,13.0679,52.628864,13.392496,2423.0,425.0,185.4,,1.0,stabil,0,,0,,,,,,,21,0,7,2,2,0,9,0,,0.0,0.0,0.0
10400941,Pilgramer Straße,Marzahn-Hellersdorf,3.691,52.487257,13.614154,9743.0,941.0,2639.7,4550.0,1.0,stabil,1,4.8,28,4.8,0.0,84.0,100.0,100.0,1.0,14,0,10,0,10,0,19,6,9743.0,0.103,0.316,0.0
08100101,Hasenheide,Neukoelln,0.8664,52.483745,13.419699,4626.0,1337.0,5339.3,4388.0,2.0,positiv,1,4.2,25,4.2,0.0,116.0,100.0,100.0,1.0,0,0,15,8,3,1,46,24,4626.0,0.432,0.522,1.0
11300616,Hohenschönhausener Straße,Lichtenberg,0.417,52.535147,13.468013,5992.0,1394.0,14369.3,3316.0,4.0,stabil,2,4.6,651,4.7,50.0,52.5,50.0,100.0,1.0,5,0,5,3,7,1,14,6,2996.0,0.501,0.429,0.0
