plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
01100312,Heine-Viertel West,01,52.511259284378475,13.410156977086498,14,3,10,8,42,0
01200522,Elberfelder Straße,01,52.521595293879066,13.335778789192737,16,1,16,7,10,2
03200207,Herthaplatz,03,52.589465505400646,13.411613384572835,22,0,11,1,14,0
05200629,Borkumer Straße,05,52.53022431987722,13.193436021503372,21,0,12,5,19,6
07601237,Kirchstraße,07,52.41569316109083,13.372881815826139,5,0,9,4,8,3
03601139,Norweger Viertel,03,52.55619960563111,13.40761465319237,3,1,11,1,8,0
11100309,Mühlengrund,11,52.56124145149301,13.514856341456786,13,0,4,0,4,3
08100416,Alt-Rixdorf,08,52.47512947008444,13.442731710494794,0,0,13,14,11,1
11200410,Malchower Weg,11,52.55690284827258,13.50105613930626,25,0,11,3,6,0
03300517,Märchenland,03,52.57859565821446,13.476322815743169,7,0,1,1,1,0
03100101,Bucher Forst,03,52.640585284501825,13.464854432543147,26,0,10,0,8,0
07200308,Volkspark (Rudolph-Wilde-Park),07,52.48131557016434,13.345179649605313,14,6,20,13,25,4
08200833,Buckow Ost,08,52.42062475483215,13.445607293473168,19,0,6,1,4,0
07400823,Wittekindstraße,07,52.46134324723571,13.374309617862087,15,0,4,4,7,1
07501134,Hundsteinweg,07,52.43348483379614,13.399368543569912,19,0,7,8,7,1
09401433,Allende II,09,52.43978985874742,13.613839021817801,2,0,3,1,5,2
10400837,Kaulsdorf Süd,10,52.4900996954184,13.579515031120204,30,0,6,3,9,1
05100101,Hakenfelde Nord,05,52.571957190017706,13.186218963452005,27,1,10,1,5,0
08401139,Vogelviertel Süd,08,52.435364268379125,13.460403509931938,19,0,2,7,3,1
03400829,Arnold-Zweig-Straße,03,52.56154185899212,13.42088662740975,6,0,11,0,3,1
04200310,Fürstenplatz,04,52.5108300127713,13.26763421755553,11,0,13,4,20,1
11400929,Weitlingkiez,11,52.506124736558235,13.497185937343447,19,0,10,13,14,2
10200629,Teterower Ring,10,52.518141541736405,13.580607454125312,15,0,9,1,3,0
12100204,Schäfersee,12,52.56498371230157,13.352969765850444,18,1,7,5,8,0
05100211,An der Kappe,05,52.54408141115286,13.163506122546643,19,1,7,6,0,1
06200314,Kaiser-Wilhelm-Straße,06,52.43104852352103,13.338358078950915,6,0,10,3,6,1
04200203,Olympiagelände,04,52.52062642083566,13.237107096866104,7,1,4,1,2,1
09401534,Altstadt Köpenick,09,52.44370136655963,13.579244488918615,22,0,18,13,13,1
07200409,Belziger Straße,07,52.486468410899306,13.351998646446159,4,4,20,21,22,6
